#id arrival runtime priority
1	5	20	7
2	5	0	1
3	10	13	8
4	15	1	8
5	25	13	1
6	31	24	9
7	37	29	2
8	42	14	1
9	42	16	8
10	51	6	10
11	54	10	6
12	64	28	8
13	74	26	10
14	81	24	6
15	83	8	9
16	87	8	9
17	89	1	8
18	91	5	9
19	94	28	5
20	103	26	2
21	112	15	3
22	114	29	2
23	122	27	6
24	129	1	5
25	131	21	2
26	141	14	2
27	147	18	9
28	150	0	8
29	160	29	7
30	165	15	4
31	172	27	3
32	180	23	10
33	188	20	7
34	191	22	7
35	198	2	0
36	205	16	7
37	214	7	2
38	221	26	0
39	225	27	10
40	225	19	7
41	228	0	1
42	234	10	5
43	237	17	9
44	247	2	10
45	253	26	0
46	257	22	9
47	266	28	4
48	267	9	9
49	277	6	4
50	284	3	3
51	285	25	6
52	285	28	7
53	291	3	2
54	293	29	1
55	303	25	5
56	313	18	5
57	321	2	6
58	331	8	1
59	339	15	9
60	339	28	5
61	342	18	2
62	349	20	5
63	350	12	0
64	354	28	3
65	357	2	10
66	366	16	0
67	369	28	8
68	376	5	6
69	382	13	3
70	385	24	3
71	391	6	6
72	400	11	6
73	403	13	3
74	405	20	1
75	408	4	9
76	411	22	3
77	412	28	4
78	421	19	5
79	425	20	1
80	430	6	8
81	438	10	5
82	439	20	7
83	447	26	0
84	456	8	8
85	466	17	5
86	472	11	10
87	482	16	6
88	485	26	8
89	493	11	5
90	500	24	1
91	504	17	5
92	511	17	8
93	515	27	1
94	519	7	5
95	519	1	3
96	524	9	3
97	528	3	1
98	528	19	9
99	536	15	9
100	536	6	2
